"Protein_id","coef_x2m","coef_x2y","coef_m2y","acme","acme_p","ade","ade_p","total","total_p","prop_m","prop_m_p","prop_m_ci_lower","prop_m_ci_upper","p_adjusted","ade_p_adjusted","prop_m_p_adjusted","symbol","uniprot","label"
"ATP5IF1__Inflammation_o2csf__NPX",0.103903202037753,1.60142043959973,1.61612494762554,0.0284288037698246,0,0.284219891970964,0,0.312648695740789,0,0.0909289056922676,0,0.0453223948120611,0.141952545206932,0,0,0,"ATP5IF1","Q9UII2","ATP5IF1"
"C1S__Inflammation_II_o2csf__NPX",-0.0526984563783856,1.62807091562963,-0.265339768167918,0.00252505484107741,0.236,0.311906233062275,0,0.314431287903352,0,0.00803054574471464,0.236,-0.00601648225306162,0.0248822626509715,0.269315789473684,0,0.269315789473684,"C1S","P09871","C1S"
"CKAP4__Inflammation_o2csf__NPX",0.0831172050294227,1.67516383575565,-0.353120171850919,-0.00525848101001858,0.032,0.319312488231031,0,0.314054007221013,0,-0.0167438749040319,0.032,-0.0374687129410391,-0.000985607849954434,0.0443870967741936,0,0.0443870967741936,"CKAP4","Q07065","CKAP4"
"CLUL1__Cardiometabolic_o2csf__NPX",0.100440456612499,1.67216323840282,-0.284239969430881,-0.00512393637482127,0.032,0.319385376290006,0,0.314261439915185,0,-0.016304693239502,0.032,-0.0371604275945863,-0.00127370731625808,0.0443870967741936,0,0.0443870967741936,"CLUL1","Q15846","CLUL1"
"CRKL__Inflammation_o2csf__NPX",0.0639656326923828,1.63026691919235,2.70209244744604,0.0283523433050893,0,0.279493294641274,0,0.307845637946363,0,0.0920992205516623,0,0.0431525870782637,0.144819648751388,0,0,0,"CRKL","P46109","CRKL"
"CRYM__Neurology_II_o2csf__NPX",0.0888160719385337,1.60725924134062,0.292187400529689,0.00470045993647281,0.034,0.308349752330623,0,0.313050212267096,0,0.0150150351358406,0.034,0.000646130541875979,0.0365624938999643,0.0456875,0,0.0456875,"CRYM",NA,"CRYM"
"DDAH1__Oncology_o2csf__NPX",0.0652973991734595,1.61997526259181,1.99811811645169,0.0221370476993141,0,0.288825208339042,0,0.310962256038356,0,0.0711888573916944,0,0.0278728070934178,0.118695749943297,0,0,0,"DDAH1","O94760","DDAH1"
"DMD__Cardiometabolic_II_o2csf__NPX",-0.0527505665921483,1.67219002909541,0.572162544181008,-0.00541597931824881,0.036,0.319313383566737,0,0.313897404248488,0,-0.0172539793096263,0.036,-0.0399208709327842,-0.000778424226923741,0.0469090909090909,0,0.0469090909090909,"DMD",NA,"DMD"
"DTX3__Oncology_o2csf__NPX",0.0715944396286958,1.65902789738048,3.42371271226794,0.0390019468419862,0,0.275783179695563,0,0.314785126537549,0,0.123900221306466,0,0.0696700119925307,0.183762531168228,0,0,0,"DTX3",NA,"DTX3"
"EGLN1__Inflammation_o2csf__NPX",0.0580657094258172,1.6095759295024,1.65182344444237,0.016735756628958,0.004,0.295717424241113,0,0.312453180870071,0,0.0535624460034457,0.004,0.0198236761041263,0.0971141079255048,0.00593103448275862,0,0.00593103448275862,"EGLN1","Q9GZT9","EGLN1"
"ENO1__Neurology_o2csf__NPX",0.104662814838558,1.57424065436357,1.31622633626026,0.0239739915760858,0,0.287640011888905,0,0.31161400346499,0,0.0769348980132699,0,0.042935061928332,0.123642411278404,0,0,0,"ENO1","P06733","ENO1"
"ENO2__Neurology_o2csf__NPX",0.0754090399618049,1.57063529522468,1.41798811865322,0.0189068116827022,0,0.292414786027128,0,0.31132159770983,0,0.0607308064130021,0,0.0292377607109484,0.0976322454474391,0,0,0,"ENO2","P09104","ENO2"
"FABP3__Cardiometabolic_II_o2csf__NPX",0.181233596483649,1.62343294407892,1.95470835579408,0.053654111931236,0,0.254441199681048,0,0.308095311612284,0,0.174147771514147,0,0.114846856182046,0.23431001761016,0,0,0,"FABP3","P05413","FABP3"
"FAM3D__Oncology_II_o2csf__NPX",-0.113143935605229,1.6292845893701,-0.159441983397755,0.00325854366741517,0.206,0.312224223595495,0,0.31548276726291,0,0.0103287532808397,0.206,-0.00497889953242361,0.0313469807299954,0.246055555555556,0,0.246055555555556,"FAM3D","Q96BQ1","FAM3D"
"GH1__Cardiometabolic_o2csf__NPX",0.264785101337847,1.59774649733415,0.249941794114848,0.0118960945042904,0,0.303382909999747,0,0.315279004504038,0,0.0377319591039817,0,0.0151520191285171,0.070213911612821,0,0,0,"GH1","P01241","GH1"
"GLO1__Cardiometabolic_o2csf__NPX",0.0848319707753128,1.58462106347325,1.71682420154773,0.025330918826739,0,0.289838994029303,0,0.315169912856042,0,0.0803722620512611,0,0.0425722934047524,0.123694491184761,0,0,0,"GLO1","Q04760","GLO1"
"GLOD4__Inflammation_o2csf__NPX",0.047021717652171,1.62048111293023,3.26644819856144,0.0254007483174659,0.002,0.280608957839535,0,0.306009706157001,0,0.0830063485124678,0.002,0.0377441874691065,0.135201673541332,0.00318518518518518,0,0.00318518518518518,"GLOD4",NA,"GLOD4"
"GMPR2__Inflammation_II_o2csf__NPX",0.0681063617781698,1.64021007585063,0.367264242673634,0.00450908974634223,0.046,0.314082720367626,0,0.318591810113968,0,0.0141531878824168,0.046,8.58335140631843e-05,0.0362250407460091,0.0581764705882353,0,0.0581764705882353,"GMPR2","Q9P2T1","GMPR2"
"GPI__Inflammation_II_o2csf__NPX",0.0934402102436115,1.5838343434376,1.72335757362047,0.027285584242488,0,0.281269372558316,0,0.308554956800804,0,0.0884302249602261,0,0.0445941894387955,0.137861842102088,0,0,0,"GPI","P06744","GPI"
"HGF__Inflammation_o2csf__NPX",0.0644190410311219,1.60487369739146,0.861483941814619,0.00992688804017819,0,0.30346912919407,0,0.313396017234248,0,0.0316752207886494,0,0.0112323004677398,0.0557272450839206,0,0,0,"HGF","P14210","HGF"
"IL17RB__Inflammation_o2csf__NPX",0.0872057803078195,1.65754130256757,-0.157379759440321,-0.00247273371677149,0.296,0.317551747484632,0,0.31507901376786,0,-0.00784797974070503,0.296,-0.0260852275919032,0.00739192708993391,0.326358974358974,0,0.326358974358974,"IL17RB","Q9NRM6","IL17RB"
"ITGAM__Neurology_o2csf__NPX",0.063555193031158,1.68171633008417,2.97626564200629,0.0297299082059172,0.002,0.275970950285915,0,0.305700858491832,0,0.0972516346620321,0.002,0.0384043080490657,0.155211635602586,0.00318518518518518,0,0.00318518518518518,"ITGAM","P11215","ITGAM"
"ITGB2__Cardiometabolic_o2csf__NPX",0.081331948417585,1.7322975799476,3.42152131453349,0.0405599701663893,0,0.262212101209008,0,0.302772071375397,0,0.133962059255129,0,0.0712097088639299,0.20287001848274,0,0,0,"ITGB2","P05107","ITGB2"
"LDLR__Cardiometabolic_o2csf__NPX",-0.0601463915847488,1.63044546772269,-0.374063937606191,0.0040553566917655,0.114,0.311750104347691,0,0.315805461039457,0,0.0128413127449333,0.114,-0.00390393836139185,0.0349214566110482,0.140057142857143,0,0.140057142857143,"LDLR","P01130","LDLR"
"LPA__Inflammation_II_o2csf__NPX",-0.233121045781682,1.64258350889834,0.0386266440909106,-0.00162510239349249,0.466,0.314858171170912,0,0.31323306877742,0,-0.00518815717585448,0.466,-0.0224581019450979,0.00752277098697166,0.488731707317073,0,0.488731707317073,"LPA",NA,"LPA"
"MAPT__Neurology_o2csf__NPX",0.216643719224081,1.56124678369534,1.64109925516623,0.054388685747344,0,0.247136302443423,0,0.301524988190767,0,0.180378701193858,0,0.109081227019499,0.254034157037408,0,0,0,"MAPT","P10636","MAPT"
"MDH1__Inflammation_II_o2csf__NPX",0.0752179014527131,1.62052683298744,1.91153364696096,0.0242528448947968,0,0.286973758171241,0,0.311226603066038,0,0.0779266446244337,0,0.0339610558020078,0.124289026380255,0,0,0,"MDH1","P40925","MDH1"
"MMP10__Inflammation_o2csf__NPX",0.119035094727897,1.60418457804146,1.06522049714524,0.0219942733584182,0,0.29312234599519,0,0.315116619353608,0,0.0697972496770707,0,0.0327643214680324,0.112108899445782,0,0,0,"MMP10","P09238","MMP10"
"NRGN__Inflammation_II_o2csf__NPX",0.177280856921602,1.57365764897937,1.68286572333335,0.0478032357062282,0,0.262092548787815,0,0.309895784494043,0,0.154255843732354,0,0.0960939762412256,0.214768238630384,0,0,0,"NRGN","Q92686","NRGN"
"PARK7__Neurology_o2csf__NPX",0.0551890055808249,1.59158334542073,1.20928391958796,0.0119002030463496,0.002,0.299321791178185,0,0.311221994224535,0,0.0382370245907623,0.002,0.0147564720935666,0.0731725804853377,0.00318518518518518,0,0.00318518518518518,"PARK7","Q99497","PARK7"
"PBXIP1__Oncology_II_o2csf__NPX",-0.0835062458348463,1.63503600880831,-0.13397563032037,0.00201758622702438,0.402,0.312878429145188,0,0.314896015372213,0,0.00640715070541481,0.402,-0.00982431512464524,0.0257971435755377,0.43215,0,0.43215,"PBXIP1",NA,"PBXIP1"
"PPP3R1__Neurology_o2csf__NPX",0.0740687511913671,1.59083343318293,2.53114581778169,0.0316088233696762,0,0.281276794176668,0,0.312885617546344,0,0.101023574102106,0,0.0571722382672943,0.151879913285453,0,0,0,"PPP3R1","P63098","PPP3R1"
"PRSS22__Inflammation_II_o2csf__NPX",0.0867479358366009,1.65172221711256,-0.191478507523978,-0.00299828023548439,0.238,0.316986197664935,0,0.313987917429451,0,-0.00954903061248549,0.238,-0.0291404727265446,0.00604433125312354,0.269315789473684,0,0.269315789473684,"PRSS22","Q9GZN4","PRSS22"
"SCRN1__Inflammation_o2csf__NPX",0.121134205753086,1.56105611670994,1.00071148092451,0.0213673344844679,0,0.289271979759497,0,0.310639314243965,0,0.0687850297908099,0,0.0360438702474066,0.108433734953698,0,0,0,"SCRN1",NA,"SCRN1"
"SDC4__Cardiometabolic_o2csf__NPX",0.0527532581845062,1.62806964405311,3.30204276608069,0.0286641426908528,0,0.280322541408211,0,0.308986684099064,0,0.0927682135378458,0,0.0467374264638482,0.146085442368515,0,0,0,"SDC4",NA,"SDC4"
"SIGLEC1__Inflammation_o2csf__NPX",-0.0770054844370934,1.62557061673565,-0.100108961745235,0.00139421791470238,0.54,0.311898165078229,0,0.313292382992931,0,0.00445021325249977,0.54,-0.00931131696303007,0.0188968429939309,0.552857142857143,0,0.552857142857143,"SIGLEC1","Q9BZZ2","SIGLEC1"
"SMOC1__Oncology_o2csf__NPX",0.0993810795978608,1.5438157691291,4.96408797388208,0.0704406149372656,0,0.226196113881288,0,0.296636728818554,0,0.237464238558107,0,0.164029654477295,0.32053831944557,0,0,0,"SMOC1","Q9H4F8","SMOC1"
"SNAP25__Neurology_II_o2csf__NPX",0.182643895210491,1.62847694483629,0.0640555386601444,0.00211533261082112,0.564,0.312434278223623,0,0.314549610834445,0,0.00672495701142189,0.564,-0.0199475263101511,0.0314171530166185,0.564,0,0.564,"SNAP25","P60880","SNAP25"
"SNAP29__Oncology_o2csf__NPX",0.0545552826169585,1.64353840095667,2.57182602993925,0.0238887311416732,0.002,0.294778795763026,0,0.3186675269047,0,0.0749644351079969,0.002,0.0291849477664091,0.12458240523789,0.00318518518518518,0,0.00318518518518518,"SNAP29","O95721","SNAP29"
"SPON1__Inflammation_o2csf__NPX",0.0552838017175353,1.61240278952369,0.781985092252969,0.00778709236638698,0.004,0.307597610949563,0,0.315384703315949,0,0.0246907737899575,0.004,0.00704389601787306,0.0507922720916481,0.00593103448275862,0,0.00593103448275862,"SPON1","Q9HCB6","SPON1"
"TXNRD1__Neurology_o2csf__NPX",0.0728392035931775,1.57707487332231,2.58880115530024,0.0313905249619472,0,0.274160888332692,0,0.305551413294639,0,0.102734019860932,0,0.057382101509378,0.154660114544958,0,0,0,"TXNRD1","Q16881","TXNRD1"
"VSNL1__Neurology_II_o2csf__NPX",0.106628367954525,1.59719976919953,1.27602077903733,0.0235922429016485,0,0.291302058040222,0,0.31489430094187,0,0.0749211491954046,0,0.0374233899258634,0.121270048924772,0,0,0,"VSNL1","P62760","VSNL1"
"YWHAQ__Inflammation_II_o2csf__NPX",0.0672484854371602,1.60315968055931,0.989648113497852,0.0119139997898245,0,0.303313078482528,0,0.315227078272353,0,0.0377949757841899,0,0.0156976872820594,0.0673744791784275,0,0,0,"YWHAQ","P27348","YWHAQ"
