apt_name,coef_x2m,coef_x2y,coef_m2y,acme,acme_p,ade,ade_p,total,total_p,prop_m,prop_m_p,prop_m_ci_lower,prop_m_ci_upper,p_adjusted,ade_p_adjusted,prop_m_p_adjusted,Protein_id,UniProt,EntrezGeneSymbol,symbol,ref_name,label
seq.10046.55,-0.213486516334086,0.823030571884445,0.0134989692875251,-0.0006666157672851,0.818,0.823030571884445,0.0,0.82236395611716,0.0,-0.000810609174109,0.818,-0.0074512827174103,0.003898889759178,1,0.0,1,cIAP.1__seq.10046.55__ANML,Q13490,BIRC2,BIRC2,BIRC2__seq.10046.55,BIRC2_1
seq.10082.251,-0.331758686556139,-0.158328400534145,0.014386882943932,-0.0005042824949419,0.818,-0.158328400534145,0.0,-0.158832683029087,0.0,0.0031749290216899,0.818,-0.0251803268255085,0.0410843014073523,1,0.0,1,NFL__seq.10082.251__ANML,P07196,NEFL,NEFL,NEFL__seq.10082.251,NEFL
seq.10449.31,-0.22632997411161,-0.120367178520848,-0.0525375416429175,0.0024863445633479,0.686,-0.120367178520848,0.0,-0.1178808339575,0.0,-0.021092017080948,0.686,-0.100149981853204,0.0430136113257121,1,0.0,1,TMM46__seq.10449.31__ANML,Q6UWI4,SHISA2,SHISA2,SHISA2__seq.10449.31,SHISA2
seq.10833.64,-0.226020084210292,0.135310244087519,0.0492217055102168,-0.0040428505552539,0.606,0.13531024408752,0.0,0.131267393532267,0.0,-0.0307985894018697,0.606,-0.0699473031030099,0.0301316076700304,1,0.0,1,HHIP__seq.10833.64__ANML,Q96QV1,HHIP,HHIP,HHIP__seq.10833.64,HHIP
seq.10953.14,-0.229977644864382,0.0679818090283596,-0.0003551341373501,5.12564734320869e-06,0.814,0.0679818090283604,0.0,0.0679869346757036,0.0,7.53916523469977e-05,0.814,-0.0301734199851797,0.0726292936762123,1,0.0,1,CLC2A__seq.10953.14__ANML,Q6UVW9,CLEC2A,CLEC2A,CLEC2A__seq.10953.14,CLEC2A
seq.11402.17,-0.186614119418001,0.124918287747295,-0.0292712136291931,0.0006072865898173,0.782,0.124918287747295,0.0,0.125525574337113,0.0,0.0048379510950204,0.782,-0.0356490382174291,0.0617533244657936,1,0.0,1,KMT2C__seq.11402.17__ANML,Q8NEZ4,KMT2C,KMT2C,KMT2C__seq.11402.17,KMT2C
seq.11536.9,-0.191214802328862,0.127230938872855,0.0427167639857954,-0.0015886399829427,0.74,0.127230938872855,0.004,0.125642298889912,0.004,-0.0126441492791752,0.74,-0.0616231876943267,0.0473465269206478,1,0.0044266666666666,1,MYSM1__seq.11536.9__ANML,Q5VVJ2,MYSM1,MYSM1,MYSM1__seq.11536.9,MYSM1
seq.12500.88,-0.226020084210292,0.415756292069409,-0.0086294000314668,0.0002480731015206,0.912,0.41575629206941,0.0,0.416004365170931,0.0,0.0005963233136235,0.912,-0.0181388862929562,0.0220600978842152,1,0.0,1,SAE2__seq.12500.88__ANML,Q9UBT2,UBA2,UBA2,UBA2__seq.12500.88,UBA2
seq.12501.10,-0.226020084210292,-0.271289928694421,-0.0048682766372888,9.99646126753423e-05,0.912,-0.271289928694421,0.0,-0.271189964081746,0.0,-0.0003686147199946,0.912,-0.0197349847757717,0.0148452920815466,1,0.0,1,TBCA__seq.12501.10__ANML,O75347,TBCA,TBCA,TBCA__seq.12501.10,TBCA
seq.12587.65,-0.226020084210292,-0.59600908266529,0.0023873394150266,-6.3727746191671e-05,0.956,-0.59600908266529,0.0,-0.596072810411482,0.0,0.0001069126876424,0.956,-0.0098461667466768,0.0100489445807746,1,0.0,1,ARL2__seq.12587.65__ANML,P36404,ARL2,ARL2,ARL2__seq.12587.65,ARL2
seq.12650.43,-0.217611796454739,0.147947768463572,-0.0305459709455895,0.0008817393675015,0.662,0.147947768463572,0.0,0.148829507831074,0.0,0.0059244929339036,0.662,-0.0231939554476537,0.0367359313934093,1,0.0,1,GNAI3__seq.12650.43__ANML,P08754,GNAI3,GNAI3,GNAI3__seq.12650.43,GNAI3
seq.13007.66,-0.228286411560047,-0.159647348285371,-0.0934735425055027,-0.0003846647839732,0.596,-0.159647348285372,0.002,-0.160032013069345,0.002,0.0024036739686988,0.598,-0.113131022243283,0.0502874826467447,1,0.0024411764705882,1,LCN10__seq.13007.66__ANML,Q6JVE6,LCN10,LCN10,LCN10__seq.13007.66,LCN10
seq.13507.51,-0.226020084210292,-0.270461042124343,-0.0207740696642232,0.0004265722723659,0.808,-0.270461042124344,0.0,-0.270034469851978,0.0,-0.0015796956314496,0.808,-0.0337445086410892,0.0199705895094642,1,0.0,1,TRADD__seq.13507.51__ANML,Q15628,TRADD,TRADD,TRADD__seq.13507.51,TRADD
seq.13532.25,-0.241681966456416,0.0866754321519172,0.0030644719268821,-0.0001525878137866,0.908,0.0866754321519174,0.012,0.0865228443381308,0.012,-0.0017635552200562,0.908,-0.0434847458412176,0.0382239442246729,1,0.012,1,NEPR1__seq.13532.25__ANML,Q8N9A8,CNEP1R1,CNEP1R1,CNEP1R1__seq.13532.25,CNEP1R1
seq.13732.79,-0.196707698289706,-0.0662826682387557,0.0345063895279516,-0.0020632686521868,0.552,-0.0662826682387561,0.004,-0.0683459368909429,0.004,0.030188607341488,0.552,-0.0481218991194371,0.100588522088741,1,0.0044266666666666,1,Cardiotrophin.1__seq.13732.79__ANML,Q16619,CTF1,CTF1,CTF1__seq.13732.79,CTF1_1
seq.14318.1,-0.211990500320994,1.06780812300321,0.0060285330620015,8.70097555340493e-05,0.946,1.06780812300321,0.0,1.06789513275874,0.0,8.14778088830437e-05,0.946,-0.0031370973748671,0.0029678175634519,1,0.0,1,VPS29__seq.14318.1__ANML,Q9UBQ0,VPS29,VPS29,VPS29__seq.14318.1,VPS29
seq.14341.8,-0.232046566996753,-0.0844436877914206,-0.0241764728519673,0.0003987871810633,0.696,-0.0844436877914205,0.0,-0.0840449006103571,0.0,-0.0047449301286252,0.696,-0.0530444918642317,0.024515715181505,1,0.0,1,FA69C__seq.14341.8__ANML,Q0P6D2,DIPK1C,DIPK1C,DIPK1C__seq.14341.8,DIPK1C
seq.15364.101,-0.226020084210292,0.0570405404507986,-0.0051846268830534,-4.2584204378265e-05,0.948,0.0570405404507994,0.0,0.0569979562464212,0.0,-0.0007471180930445,0.948,-0.0363264698996828,0.0438219189675757,1,0.0,1,Apo_C.I__seq.15364.101__ANML,P02654,APOC1,APOC1,APOC1__seq.15364.101,APOC1
seq.15548.35,-0.226020084210292,0.306826293018681,-0.0181752114518419,0.0004851699155522,0.768,0.30682629301868,0.0,0.307311462934233,0.0,0.0015787563240233,0.768,-0.0088021590931737,0.0167002026028045,1,0.0,1,SERA__seq.15548.35__ANML,O43175,PHGDH,PHGDH,PHGDH__seq.15548.35,PHGDH_1
seq.17467.1,-0.229649620721814,0.102813910279466,-0.0352241492528138,0.0013072880135064,0.642,0.102813910279465,0.0,0.104121198292972,0.0,0.0125554453361941,0.642,-0.0513291409688715,0.0692895052565674,1,0.0,1,DHRS9__seq.17467.1__ANML,Q9BPW9,DHRS9,DHRS9,DHRS9__seq.17467.1,DHRS9
seq.17671.58,-0.226581064104433,0.513626119913283,0.0307623981447107,-0.0014558336570541,0.814,0.513626119913283,0.0,0.512170286256229,0.0,-0.002842479730122,0.814,-0.0130152777700256,0.0084920407203783,1,0.0,1,ING4__seq.17671.58__ANML,Q9UNL4,ING4,ING4,ING4__seq.17671.58,ING4
seq.18275.5,-0.226020084210292,-0.166963220626134,-0.023922492368505,4.91221609209564e-05,0.834,-0.166963220626135,0.0,-0.166914098465214,0.0,-0.0002942960563106,0.834,-0.0429458759497455,0.0307039361535271,1,0.0,1,CRIP1__seq.18275.5__ANML,P50238,CRIP1,CRIP1,CRIP1__seq.18275.5,CRIP1
seq.19158.1,-0.226581586108024,0.511618779382111,0.0342652353482806,-0.0008460551937846,0.728,0.511618779382111,0.0,0.510772724188327,0.0,-0.0016564220321849,0.728,-0.0162401255503329,0.0099791891394904,1,0.0,1,PAF__seq.19158.1__ANML,Q15004,PCLAF,PCLAF,PCLAF__seq.19158.1,PCLAF
seq.19606.28,-0.226020084210292,0.141005150049107,0.0179357519858155,0.0,1.0,0.141005150049107,0.002,0.141005150049107,0.002,0.0,1.0,-0.0463568551192632,0.0346919479287209,1,0.0024411764705882,1,ihh__seq.19606.28__ANML,Q14623,IHH,IHH,IHH__seq.19606.28,IHH
seq.19620.16,-0.226020084210292,-0.133297489743675,-0.0288325504600871,0.0,1.0,-0.133297489743676,0.004,-0.133297489743676,0.006,0.0,1.0,-0.0536627993305778,0.0425835848906468,1,0.0044266666666666,1,DLG2__seq.19620.16__ANML,Q15700,DLG2,DLG2,DLG2__seq.19620.16,DLG2
seq.19823.75,-0.226020084210292,0.129780708659592,-0.0703831700501113,-0.0007226198157095,0.65,0.129780708659592,0.002,0.129058088843882,0.0,-0.0055991826795427,0.65,-0.0600896402654828,0.096878045433018,1,0.0024411764705882,1,SIR1__seq.19823.75__ANML,Q96EB6,SIRT1,SIRT1,SIRT1__seq.19823.75,SIRT1
seq.20089.172,-0.315937893224702,0.103517064375432,0.0033244193825706,-0.0001648472421109,0.854,0.103517064375431,0.002,0.10335221713332,0.002,-0.0015950044100001,0.856,-0.0585646668436266,0.0291029438641413,1,0.0024411764705882,1,ST1C4__seq.20089.172__ANML,O75897,SULT1C4,SULT1C4,SULT1C4__seq.20089.172,SULT1C4
seq.20133.1,-0.210447126306153,-0.160221051120159,0.0116416857774016,-4.80069516593896e-05,0.916,-0.16022105112016,0.0,-0.16026905807182,0.0,0.0002995397379691,0.916,-0.0165488603851772,0.0243607999961126,1,0.0,1,MAGE.3__seq.20133.1__ANML,P43357,MAGEA3,MAGEA3,MAGEA3__seq.20133.1,MAGEA3_2
seq.20241.9,-0.226020084210292,-0.159357551260088,0.0507837057097031,-0.0005213932824404,0.662,-0.159357551260088,0.0,-0.159878944542529,0.0,0.0032611754095098,0.662,-0.03377092228156,0.0491135002092395,1,0.0,1,SNP23__seq.20241.9__ANML,O00161,SNAP23,SNAP23,SNAP23__seq.20241.9,SNAP23
seq.20387.277,-0.226020084210292,-0.262176059924755,0.0128814695535038,-0.0004761118110124,0.946,-0.262176059924755,0.0,-0.262652171735768,0.0,0.0018127084496047,0.946,-0.0205239274062502,0.0224887303835953,1,0.0,1,CHCH7__seq.20387.277__ANML,Q9BUK0,CHCHD7,CHCHD7,CHCHD7__seq.20387.277,CHCHD7
seq.20398.60,-0.226020084210292,-0.441031455280545,-0.0068517840279659,0.0003095261778547,0.97,-0.441031455280545,0.0,-0.44072192910269,0.0,-0.0007023162620587,0.97,-0.0281737357586952,0.0231175978221808,1,0.0,1,POP7__seq.20398.60__ANML,O75817,POP7,POP7,POP7__seq.20398.60,POP7
seq.21115.48,-0.226020084210292,-0.653496563571235,0.0175568777240524,-0.000396561919845,0.924,-0.653496563571235,0.0,-0.65389312549108,0.0,0.0006064628979655,0.924,-0.0125862421637536,0.0140781075932464,1,0.0,1,BN3D2__seq.21115.48__ANML,Q7Z5W3,BCDIN3D,BCDIN3D,BCDIN3D__seq.21115.48,BCDIN3D
seq.21152.25,-0.209556992835229,-0.11437887317033,-0.0058257872693774,0.0001678210324512,0.984,-0.11437887317033,0.0,-0.114211052137879,0.0,-0.0014693939799154,0.984,-0.0323507709136241,0.0458162830015958,1,0.0,1,EYA2__seq.21152.25__ANML,O00167,EYA2,EYA2,EYA2__seq.21152.25,EYA2
seq.21238.40,-0.205776615950528,-0.144538543404401,-0.0102274072621573,8.41761914580813e-05,0.944,-0.144538543404401,0.0,-0.144454367212943,0.0,-0.000582718218093,0.944,-0.0359000196443557,0.0346759457163416,1,0.0,1,CK5P3__seq.21238.40__ANML,Q96JB5,CDK5RAP3,CDK5RAP3,CDK5RAP3__seq.21238.40,CDK5RAP3
seq.21366.7,-0.226020084210292,-0.114587809673311,-0.0032068197695555,0.0001119423738858,0.92,-0.11458780967331,0.006,-0.114475867299424,0.006,-0.0009778687554557,0.918,-0.0415602634731295,0.0415451319308185,1,0.0063037974683544,1,MSI2H__seq.21366.7__ANML,Q96DH6,MSI2,MSI2,MSI2__seq.21366.7,MSI2
seq.21497.32,-0.226020084210292,-0.0722094477240838,-0.0010327844873054,4.24141473228533e-06,0.974,-0.0722094477240836,0.004,-0.0722052063093513,0.004,-5.87411206071996e-05,0.97,-0.0373252642638387,0.0379933236205716,1,0.0044266666666666,1,HYOU1__seq.21497.32__ANML,Q9Y4L1,HYOU1,HYOU1,HYOU1__seq.21497.32,HYOU1
seq.21569.49,-0.226020084210292,0.254244917964377,0.0969575387709026,-0.0037827376522529,0.638,0.254244917964376,0.0,0.250462180312124,0.0,-0.0151030293177951,0.638,-0.0666465789390898,0.0294744321829363,1,0.0,1,STK10__seq.21569.49__ANML,O94804,STK10,STK10,STK10__seq.21569.49,STK10
seq.21572.91,-0.199876665485616,0.0718051108991745,0.0129384505617689,-8.03630469675096e-05,0.856,0.0718051108991737,0.002,0.0717247478522062,0.002,-0.0011204368000442,0.858,-0.058038090124537,0.0361146119825286,1,0.0024411764705882,1,XYLT2__seq.21572.91__ANML,Q9H1B5,XYLT2,XYLT2,XYLT2__seq.21572.91,XYLT2
seq.21655.18,-0.243336990046159,0.142558607163779,-0.025937989833801,0.0010182268736409,0.71,0.14255860716378,0.0,0.143576834037421,0.0,0.0070918604694653,0.71,-0.0244385351040649,0.0449406962610558,1,0.0,1,FOPNL__seq.21655.18__ANML,Q96NB1,CEP20,CEP20,CEP20__seq.21655.18,CEP20
seq.21750.25,-0.34388258175815,0.121948138601492,-0.0116532619661019,0.000747931927431,0.836,0.121948138601493,0.01,0.122696070528924,0.01,0.0060958099489806,0.834,-0.034281319897889,0.0470400185302785,1,0.0102469135802469,1,BAP1__seq.21750.25__ANML,Q92560,BAP1,BAP1,BAP1__seq.21750.25,BAP1
seq.21802.53,-0.226020084210292,-0.0993252980249444,-0.0582846753841569,0.0040691559816455,0.564,-0.0993252980249437,0.0,-0.0952561420432982,0.0,-0.0427180431031514,0.564,-0.0908081375747507,0.0455914387033585,1,0.0,1,NEIL1__seq.21802.53__ANML,Q96FI4,NEIL1,NEIL1,NEIL1__seq.21802.53,NEIL1
